"hack_license","medallion","vendor_id","pickup_datetime","dropoff_datetime","trip_distance","trip_time_in_secs","passenger_count"," fare_amount"
"21C3C2CCF92B97E130697AC28D9B103A","667F7B594ED1243209C134AEC8B230EF","CMT","2013-05-20 00:03:48","2013-05-20 00:16:42",3.9,774,1,13.5
"10AE55336D65C1DA7A044EA3F4522CE4","7DC94D55F3452BCD3EDFD35F1BA02197","CMT","2013-05-20 00:03:50","2013-05-20 00:16:31",2.8,681,1,11
"6CEA1D04D2D05C3EDEE60D9A7DC41B0F","2A12D22BDF4D05A35AC1A63AEFEBF799","CMT","2013-05-20 00:03:50","2013-05-20 00:18:06",4.9,855,2,16.5
"C1DBB901099CB7C60DE5630D47DAE3C6","CB86B19E3AAE896309FCD5226B0AEFB5","CMT","2013-05-20 00:03:50","2013-05-20 00:19:44",9.8,954,1,27.5
"5CFC6D677F5CD96529222EF062623882","47D7BFDF540BFD20858B0329251B741B","CMT","2013-05-20 00:03:50","2013-05-20 00:12:42",2.4,532,1,9.5
"01C9AA5E73198B1AF191AE1F95394DB8","03DF80AA37499014EE62AF647BF7CDD8","CMT","2013-05-20 00:03:51","2013-05-20 00:10:44",1.3,412,1,7
"EE5F71D4B4DC3EA5D43DE1385A49D970","C224D8EB554DC51C2AB59BCDF81CD089","CMT","2013-05-20 00:03:51","2013-05-20 00:11:14",2.2,443,1,9
"73DDFBB180202DCB1648E63DB5921C02","12DB9C4237F50D77F4D529C308E404DE","CMT","2013-05-20 00:03:51","2013-05-20 00:11:43",1.8,471,1,8.5
"1F1E0048FD55CD0AA27E59E860D2ACEC","B46EF45B234D91D4EA1ADACA6B560BCC","CMT","2013-05-20 00:03:51","2013-05-20 00:07:18",1.9,207,1,5
"BA55D963EC83A92AC14F75C803FA3814","28172009F5513B25F4091C0929C4515D","CMT","2013-05-20 00:03:51","2013-05-20 00:09:33",1.3,341,1,7.5
"9162A32324D327D62D55A87DC7B727B5","10687B2FB17ACDE3CDE75BA1CF9D0116","CMT","2013-05-20 00:03:52","2013-05-20 00:06:29",0.6,156,3,4.5
"1C21B49A7866A92F94A5C840B66A2079","42D3907F88C4DBF7622B69E458147C8E","CMT","2013-05-20 00:03:52","2013-05-20 00:24:19",6.1,1228,1,20.5
"A15ED585C9ED8534AF182C5602C9872C","40A357B2687E506580A249EBFA396739","CMT","2013-05-20 00:03:52","2013-05-20 00:10:05",2.7,373,1,7
"B0EB08398CBEF651F980255AF32C5FC8","6E0249E458D0F77C35E20EC5A027CE82","CMT","2013-05-20 00:03:52","2013-05-20 00:16:20",3.6,748,1,13
